
date, L Income, L 2020, L 2030, L 2040, L 2050, G Fund, F Fund, C Fund, S Fund, I Fund, 
2014-12-03, 17.461100, 23.019900, 24.980000, 26.587100, 15.104700, 14.594100, 16.699200, 27.331200, 35.930000, 25.148600, 
2014-12-02, 17.449000, 22.983400, 24.927100, 26.519200, 15.062200, 14.593300, 16.699500, 27.221600, 35.634700, 25.188300, 
2014-12-01, 17.433500, 22.932600, 24.855400, 26.429600, 15.004700, 14.590800, 16.759100, 27.047200, 35.394800, 25.188100, 
2014-11-28, 17.457900, 23.014500, 24.973800, 26.580200, 15.100700, 14.589900, 16.767300, 27.232100, 35.940100, 25.260600, 
2014-11-26, 17.468800, 23.061500, 25.043100, 26.668900, 15.158800, 14.588200, 16.740300, 27.300100, 36.264700, 25.384000, 
2014-11-25, 17.456500, 23.023700, 24.991300, 26.606200, 15.118800, 14.587400, 16.726000, 27.217500, 36.180900, 25.293800, 
2014-11-24, 17.451100, 23.009100, 24.972400, 26.584600, 15.104800, 14.586500, 16.687700, 27.245400, 36.179900, 25.167700, 
2014-11-21, 17.436600, 22.968600, 24.914800, 26.511700, 15.058900, 14.584000, 16.673900, 27.167200, 35.879300, 25.142100, 
2014-11-20, 17.413500, 22.894300, 24.813400, 26.389600, 14.980400, 14.583100, 16.649400, 27.021900, 35.751900, 24.919500, 
2014-11-19, 17.406100, 22.876000, 24.785700, 26.352300, 14.957900, 14.582300, 16.631900, 26.967600, 35.484900, 24.994300, 
2014-11-18, 17.415500, 22.907900, 24.831800, 26.410800, 14.995300, 14.581400, 16.653600, 27.006300, 35.702800, 25.066800, 
2014-11-17, 17.390000, 22.821400, 24.712400, 26.265800, 14.901200, 14.580600, 16.648800, 26.863000, 35.489700, 24.777300, 
2014-11-14, 17.392900, 22.839200, 24.739700, 26.301400, 14.925000, 14.578000, 16.658700, 26.841800, 35.650500, 24.886000, 
2014-11-13, 17.389900, 22.833600, 24.732600, 26.293400, 14.920300, 14.577100, 16.640500, 26.831800, 35.643800, 24.878600, 
2014-11-12, 17.388000, 22.830100, 24.730800, 26.294800, 14.921100, 14.576300, 16.632200, 26.815600, 35.830000, 24.818400, 
2014-11-10, 17.383800, 22.821000, 24.717200, 26.276500, 14.909900, 14.574600, 16.625300, 26.807600, 35.675600, 24.837100, 
2014-11-07, 17.369300, 22.771800, 24.649800, 26.194700, 14.856400, 14.572000, 16.657800, 26.722400, 35.555800, 24.671100, 
2014-11-06, 17.366600, 22.772200, 24.650900, 26.196000, 14.858800, 14.571200, 16.615100, 26.708200, 35.520200, 24.737200, 
2014-11-05, 17.358300, 22.748100, 24.615500, 26.150000, 14.830400, 14.570300, 16.633100, 26.599400, 35.292900, 24.830400, 
2014-11-04, 17.341700, 22.696400, 24.545500, 26.066400, 14.777200, 14.569500, 16.636300, 26.439300, 35.255700, 24.747400, 
2014-11-03, 17.355800, 22.748600, 24.619400, 26.158000, 14.836800, 14.568600, 16.634200, 26.513900, 35.468500, 24.920300, 
2014-10-31, 17.361600, 22.778000, 24.660200, 26.206800, 14.869700, 14.565800, 16.644300, 26.516800, 35.468400, 25.133500, 
2014-10-30, 17.313100, 22.611000, 24.428600, 25.924200, 14.686900, 14.564800, 16.662700, 26.209300, 34.981700, 24.647700, 
2014-10-29, 17.292600, 22.548500, 24.342500, 25.819300, 14.620500, 14.563900, 16.648300, 26.044700, 34.795400, 24.564600, 
2014-10-28, 17.299800, 22.571000, 24.374600, 25.859600, 14.645800, 14.562900, 16.678200, 26.078600, 34.930600, 24.604200, 
2014-10-27, 17.257800, 22.432400, 24.178600, 25.615000, 14.489800, 14.562000, 16.695300, 25.770800, 34.220600, 24.412700, 
2014-10-24, 17.257300, 22.437700, 24.188300, 25.628800, 14.498800, 14.559100, 16.678700, 25.809200, 34.300700, 24.375800, 
2014-10-23, 17.238200, 22.380600, 24.110000, 25.533800, 14.439100, 14.558200, 16.676900, 25.628100, 34.146100, 24.347000, 
2014-10-22, 17.200500, 22.255300, 23.934500, 25.317000, 14.300700, 14.557200, 16.713100, 25.316700, 33.633300, 24.174600, 
2014-10-21, 17.226600, 22.340800, 24.055300, 25.467400, 14.396000, 14.556300, 16.728400, 25.499800, 34.066400, 24.292500, 
2014-10-20, 17.162200, 22.132400, 23.766600, 25.114300, 14.171500, 14.555300, 16.738600, 25.009500, 33.346500, 23.949300, 
2014-10-17, 17.128500, 22.032400, 23.629400, 24.946800, 14.066000, 14.552500, 16.719600, 24.782300, 32.974300, 23.807700, 
2014-10-16, 17.088600, 21.902400, 23.453500, 24.737300, 13.932000, 14.551500, 16.736400, 24.466600, 32.820700, 23.495900, 
2014-10-15, 17.090600, 21.906000, 23.452800, 24.728900, 13.927000, 14.550600, 16.792400, 24.461800, 32.443000, 23.659200, 
2014-10-14, 17.109200, 21.980100, 23.551600, 24.843600, 14.002700, 14.549700, 16.714900, 24.660500, 32.307700, 23.938300, 
2014-10-10, 17.130100, 22.054100, 23.654600, 24.969000, 14.081500, 14.545800, 16.650600, 25.032400, 32.418100, 23.831900, 
2014-10-09, 17.173900, 22.207400, 23.869800, 25.234500, 14.252800, 14.544900, 16.635200, 25.320700, 33.009500, 24.217700, 
2014-10-08, 17.248600, 22.458300, 24.218500, 25.660900, 14.526000, 14.544000, 16.636100, 25.853100, 33.812200, 24.781700, 
2014-10-07, 17.192500, 22.281100, 23.974000, 25.363400, 14.336900, 14.543000, 16.612100, 25.400800, 33.319700, 24.496700, 
2014-10-06, 17.237600, 22.437900, 24.193600, 25.633700, 14.510500, 14.542100, 16.562700, 25.790400, 33.864000, 24.769600, 
2014-10-03, 17.232000, 22.424100, 24.178900, 25.620700, 14.501300, 14.539200, 16.535700, 25.830200, 34.039900, 24.558600, 
2014-10-02, 17.206700, 22.351000, 24.076800, 25.494400, 14.423000, 14.538300, 16.536400, 25.544600, 33.733500, 24.656300, 
2014-10-01, 17.219000, 22.400100, 24.141000, 25.567000, 14.472300, 14.537300, 16.556200, 25.542500, 33.566500, 25.081600, 
2014-09-30, 17.255700, 22.533300, 24.328200, 25.798600, 14.621700, 14.536500, 16.485500, 25.882900, 34.069000, 25.292800, 
2014-09-29, 17.267200, 22.573800, 24.388000, 25.876000, 14.670900, 14.535700, 16.488900, 25.953500, 34.432700, 25.320800, 
2014-09-26, 17.273300, 22.604000, 24.430700, 25.928500, 14.705600, 14.533100, 16.468000, 26.017700, 34.488800, 25.428900, 
2014-09-25, 17.251300, 22.531500, 24.329300, 25.803000, 14.625700, 14.532300, 16.497600, 25.791900, 34.203800, 25.397900, 
2014-09-24, 17.298400, 22.696000, 24.558300, 26.084100, 14.806500, 14.531400, 16.448400, 26.215500, 34.708600, 25.681500, 
2014-09-23, 17.278800, 22.632300, 24.469300, 25.974000, 14.736600, 14.530600, 16.473700, 26.010900, 34.458600, 25.667200, 
2014-09-22, 17.297800, 22.702800, 24.568800, 26.097400, 14.816600, 14.529700, 16.451400, 26.159400, 34.736900, 25.829600, 
2014-09-19, 17.324500, 22.802600, 24.712100, 26.277900, 14.933000, 14.527200, 16.430500, 26.370700, 35.280800, 26.000200, 
2014-09-18, 17.327200, 22.819900, 24.739800, 26.315700, 14.958200, 14.526300, 16.395900, 26.383000, 35.531200, 26.029300, 
2014-09-17, 17.311600, 22.768100, 24.668600, 26.229400, 14.902700, 14.525500, 16.407100, 26.250700, 35.420800, 25.923200, 
2014-09-16, 17.310900, 22.768900, 24.669300, 26.229400, 14.903300, 14.524700, 16.418200, 26.216100, 35.372700, 26.008900, 
2014-09-15, 17.289600, 22.702100, 24.577200, 26.117100, 14.832100, 14.523800, 16.415900, 26.020800, 35.184000, 25.944400, 
2014-09-12, 17.294100, 22.727500, 24.617300, 26.171300, 14.867600, 14.521300, 16.400200, 26.039000, 35.517600, 25.989400, 
2014-09-11, 17.310600, 22.782700, 24.700100, 26.278500, 14.937000, 14.520300, 16.457500, 26.196400, 35.850600, 26.039200, 
2014-09-10, 17.304400, 22.764300, 24.673500, 26.244100, 14.915300, 14.519500, 16.452500, 26.166100, 35.677600, 26.033100, 
2014-09-09, 17.296700, 22.738600, 24.637000, 26.198300, 14.886100, 14.518600, 16.481000, 26.068500, 35.542200, 26.060000, 
2014-09-08, 17.321100, 22.820100, 24.751500, 26.340100, 14.976700, 14.517800, 16.506400, 26.239400, 35.881400, 26.217000, 
2014-09-05, 17.328600, 22.851800, 24.795300, 26.392600, 15.011100, 14.515200, 16.507100, 26.315700, 35.877400, 26.331300, 
2014-09-04, 17.319200, 22.825800, 24.758900, 26.347300, 14.983400, 14.514400, 16.514500, 26.183300, 35.753600, 26.426200, 
2014-09-03, 17.331600, 22.861200, 24.804600, 26.400300, 15.014800, 14.512800, 16.541400, 26.220800, 35.891900, 26.482400, 
2014-09-02, 17.327500, 22.844700, 24.784200, 26.378600, 14.999500, 14.512800, 16.531200, 26.236100, 36.028500, 26.282200, 
2014-08-29, 17.328700, 22.845100, 24.783100, 26.374800, 14.996200, 14.510900, 16.582400, 26.249100, 35.898700, 26.296200, 
2014-08-28, 17.315100, 22.807000, 24.730200, 26.309100, 14.954800, 14.508100, 16.581100, 26.160200, 35.690900, 26.271000, 
2014-08-27, 17.323600, 22.844300, 24.782800, 26.373900, 14.998000, 14.507100, 16.559300, 26.200700, 35.800600, 26.449700, 
2014-08-26, 17.319400, 22.835400, 24.771800, 26.361800, 14.990600, 14.506200, 16.533000, 26.194100, 35.819300, 26.406200, 
2014-08-25, 17.310300, 22.804800, 24.728600, 26.307700, 14.955600, 14.505300, 16.530700, 26.166000, 35.646400, 26.303500, 
2014-08-22, 17.289400, 22.741300, 24.642400, 26.203800, 14.889000, 14.502400, 16.519400, 26.041100, 35.501600, 26.133200, 
2014-08-21, 17.296900, 22.771400, 24.683400, 26.252500, 14.921200, 14.501500, 16.514800, 26.089400, 35.495000, 26.280400, 
2014-08-20, 17.283700, 22.731000, 24.628900, 26.187600, 14.879700, 14.500500, 16.494300, 26.011900, 35.447400, 26.153200, 
2014-08-19, 17.280200, 22.722300, 24.617400, 26.173800, 14.871400, 14.499600, 16.508000, 25.945800, 35.438700, 26.209500, 
2014-08-18, 17.264100, 22.669500, 24.544600, 26.085200, 14.814600, 14.498600, 16.521100, 25.811500, 35.298600, 26.115000, 
2014-08-15, 17.233500, 22.568400, 24.403600, 25.910800, 14.702500, 14.495800, 16.554100, 25.591600, 34.866300, 25.934400, 
2014-08-14, 17.232300, 22.573100, 24.410800, 25.919900, 14.709700, 14.494900, 16.518700, 25.590100, 34.865300, 25.995300, 
2014-08-13, 17.215700, 22.523100, 24.342700, 25.837600, 14.657600, 14.493900, 16.494300, 25.478100, 34.737000, 25.897900, 
2014-08-12, 17.190000, 22.443800, 24.232800, 25.702900, 14.572200, 14.493000, 16.466700, 25.301800, 34.443300, 25.767000, 
2014-08-11, 17.196800, 22.467200, 24.267200, 25.747000, 14.600100, 14.492000, 16.478500, 25.341600, 34.632300, 25.790300, 
2014-08-08, 17.179400, 22.412800, 24.191900, 25.654300, 14.540600, 14.489200, 16.479200, 25.266900, 34.386600, 25.636900, 
2014-08-07, 17.151300, 22.327900, 24.073900, 25.509000, 14.449600, 14.488200, 16.481300, 24.978500, 34.053800, 25.674600, 
2014-08-06, 17.165100, 22.380600, 24.147700, 25.599700, 14.508500, 14.487300, 16.445400, 25.111900, 34.208700, 25.782600, 
2014-08-05, 17.169200, 22.400400, 24.174400, 25.631100, 14.530000, 14.486400, 16.446400, 25.103700, 34.184400, 25.961200, 
2014-08-04, 17.193700, 22.481500, 24.286000, 25.766300, 14.616000, 14.485400, 16.442800, 25.346700, 34.351000, 26.057600, 
2014-08-01, 17.174700, 22.431400, 24.216900, 25.681100, 14.563600, 14.482600, 16.430900, 25.165700, 34.112800, 26.137600, 
2014-07-31, 17.185200, 22.476500, 24.279600, 25.757400, 14.614300, 14.481700, 16.398600, 25.237900, 34.194400, 26.334300, 
2014-07-30, 17.243400, 22.669900, 24.550400, 26.091600, 14.827500, 14.480800, 16.393000, 25.751300, 34.915000, 26.561100, 
2014-07-29, 17.250000, 22.688000, 24.573100, 26.116200, 14.843100, 14.479900, 16.458800, 25.745300, 34.822000, 26.718900, 
2014-07-28, 17.257200, 22.714300, 24.609800, 26.161200, 14.871800, 14.479000, 16.435100, 25.861000, 34.869900, 26.701700, 
2014-07-25, 17.256600, 22.717400, 24.616400, 26.171400, 14.878400, 14.476300, 16.447500, 25.853400, 34.973800, 26.704100, 
2014-07-24, 17.271500, 22.775100, 24.698500, 26.273900, 14.945100, 14.475400, 16.415200, 25.978800, 35.224200, 26.830600, 
2014-07-23, 17.270200, 22.766800, 24.687400, 26.260600, 14.935500, 14.474600, 16.450800, 25.965900, 35.236800, 26.771300, 
2014-07-22, 17.263400, 22.745800, 24.658700, 26.225700, 14.913200, 14.473700, 16.450100, 25.919800, 35.176000, 26.727500, 
2014-07-21, 17.241100, 22.672900, 24.557600, 26.101900, 14.833600, 14.472800, 16.435600, 25.790400, 34.934900, 26.523800, 
2014-07-18, 17.247100, 22.700500, 24.597700, 26.152400, 14.866500, 14.470100, 16.429000, 25.849600, 35.058400, 26.589700, 
2014-07-17, 17.220200, 22.616600, 24.478600, 26.002900, 14.772300, 14.469200, 16.436300, 25.587000, 34.591800, 26.631900, 
2014-07-16, 17.253900, 22.736400, 24.647100, 26.211400, 14.906700, 14.468300, 16.392700, 25.890600, 35.039900, 26.823300, 
2014-07-15, 17.237700, 22.682800, 24.575500, 26.127100, 14.851900, 14.467400, 16.389600, 25.779500, 35.057200, 26.620300, 
2014-07-14, 17.248300, 22.722200, 24.632100, 26.198400, 14.898100, 14.466500, 16.394400, 25.828900, 35.292600, 26.732900, 
2014-07-11, 17.227400, 22.652200, 24.536400, 26.082500, 14.822700, 14.463800, 16.416100, 25.704400, 35.129000, 26.502100, 
2014-07-10, 17.222800, 22.640600, 24.521600, 26.065800, 14.812300, 14.462900, 16.409300, 25.663900, 35.161600, 26.483200, 
2014-07-09, 17.241300, 22.711200, 24.620600, 26.187500, 14.892000, 14.462100, 16.393600, 25.770600, 35.385700, 26.744800, 
2014-07-08, 17.228900, 22.676400, 24.572800, 26.129200, 14.855800, 14.461200, 16.378800, 25.650000, 35.276200, 26.761500, 
2014-07-07, 17.252500, 22.765400, 24.698800, 26.286000, 14.957900, 14.460300, 16.346400, 25.824000, 35.648900, 26.990600, 
2014-07-03, 17.268700, 22.835600, 24.801800, 26.417700, 15.044100, 14.456700, 16.320400, 25.924600, 36.119000, 27.182300, 
2014-07-02, 17.252500, 22.781500, 24.726300, 26.324500, 14.984200, 14.455800, 16.339000, 25.783300, 35.918400, 27.108600, 
2014-07-01, 17.253600, 22.780500, 24.726900, 26.327700, 14.985000, 14.454900, 16.385100, 25.764700, 36.080600, 27.049700, 
2014-06-30, 17.230600, 22.697100, 24.610300, 26.183400, 14.891300, 14.454000, 16.429100, 25.588700, 35.761400, 26.858600, 
2014-06-27, 17.222500, 22.677000, 24.582700, 26.149100, 14.869600, 14.451300, 16.404200, 25.597000, 35.612900, 26.778300, 
2014-06-26, 17.214000, 22.648900, 24.542800, 26.098700, 14.837300, 14.450400, 16.409300, 25.546800, 35.425900, 26.738100, 
2014-06-25, 17.214100, 22.654800, 24.551800, 26.110600, 14.845500, 14.449600, 16.381400, 25.572400, 35.460300, 26.739000, 
2014-06-24, 17.203400, 22.629500, 24.515400, 26.063800, 14.818000, 14.448700, 16.359700, 25.447600, 35.218500, 26.898500, 
2014-06-23, 17.220500, 22.691500, 24.603900, 26.175000, 14.889300, 14.447800, 16.335400, 25.609600, 35.547400, 26.947700, 
2014-06-20, 17.220300, 22.698500, 24.615000, 26.189500, 14.899300, 14.445100, 16.331600, 25.612800, 35.584900, 26.995800, 
2014-06-19, 17.217800, 22.696300, 24.611000, 26.183200, 14.896600, 14.444200, 16.326800, 25.568500, 35.473100, 27.116800, 
2014-06-18, 17.207500, 22.661100, 24.563600, 26.126500, 14.859400, 14.443300, 16.321100, 25.532400, 35.430400, 26.941600, 
2014-06-17, 17.178200, 22.567400, 24.436000, 25.972400, 14.760900, 14.442400, 16.292000, 25.336500, 35.236900, 26.698100, 
2014-06-16, 17.172300, 22.543600, 24.400400, 25.925500, 14.730400, 14.441600, 16.334300, 25.280900, 34.979000, 26.712900, 
2014-06-13, 17.168300, 22.539600, 24.395500, 25.919400, 14.727600, 14.438900, 16.323700, 25.259700, 34.916500, 26.768900, 
2014-06-12, 17.162400, 22.522200, 24.370800, 25.888200, 14.708200, 14.438000, 16.338800, 25.180300, 34.806000, 26.829000, 
2014-06-11, 17.175400, 22.570100, 24.439000, 25.973600, 14.762800, 14.437100, 16.298200, 25.352900, 35.029700, 26.800700, 
2014-06-10, 17.184300, 22.601400, 24.482900, 26.028000, 14.797500, 14.436200, 16.297400, 25.439900, 35.145500, 26.831800, 
2014-06-09, 17.186800, 22.610000, 24.495700, 26.044400, 14.807800, 14.435300, 16.314100, 25.445800, 35.218900, 26.852100, 
2014-06-06, 17.180100, 22.592000, 24.470400, 26.012200, 14.787400, 14.432600, 16.322900, 25.420800, 35.059600, 26.838200, 
2014-06-05, 17.161200, 22.527400, 24.380800, 25.901900, 14.716300, 14.431800, 16.330300, 25.300100, 34.817900, 26.677400, 
2014-06-04, 17.136700, 22.450800, 24.272700, 25.766900, 14.631000, 14.430900, 16.309500, 25.134400, 34.380400, 26.609000, 
2014-06-03, 17.129300, 22.427900, 24.240100, 25.725600, 14.604800, 14.430000, 16.313500, 25.082800, 34.221500, 26.601900, 
2014-06-02, 17.133600, 22.439300, 24.255600, 25.744000, 14.616000, 14.429100, 16.353200, 25.090700, 34.241300, 26.649900, 
2014-05-30, 17.131700, 22.429200, 24.242100, 25.727700, 14.604400, 14.427200, 16.406100, 25.069800, 34.239000, 26.595900, 
2014-05-29, 17.127700, 22.421000, 24.233200, 25.719400, 14.599300, 14.425300, 16.410500, 25.023600, 34.342800, 26.584600, 
2014-05-28, 17.111700, 22.368100, 24.160600, 25.630800, 14.542600, 14.424400, 16.424400, 24.887100, 34.188900, 26.504900, 
2014-05-27, 17.110700, 22.375800, 24.173400, 25.648800, 14.555500, 14.423500, 16.363000, 24.910600, 34.293400, 26.509900, 
2014-05-23, 17.083000, 22.293000, 24.060000, 25.510000, 14.467300, 14.419700, 16.341300, 24.761900, 33.958300, 26.337800, 
2014-05-22, 17.066300, 22.241900, 23.988500, 25.421000, 14.411200, 14.418800, 16.324900, 24.656900, 33.683400, 26.281000, 
2014-05-21, 17.053600, 22.197400, 23.926100, 25.343300, 14.361000, 14.417800, 16.336600, 24.595300, 33.453600, 26.158500, 
2014-05-20, 17.032900, 22.131600, 23.835500, 25.232800, 14.291000, 14.416900, 16.354200, 24.393700, 33.252900, 26.125300, 
2014-05-19, 17.051700, 22.198900, 23.931600, 25.353800, 14.368300, 14.416000, 16.329300, 24.552400, 33.647500, 26.180600, 
2014-05-16, 17.039100, 22.164200, 23.882500, 25.291400, 14.329600, 14.413100, 16.338100, 24.456500, 33.367500, 26.232600, 
2014-05-15, 17.030900, 22.139500, 23.847600, 25.247600, 14.302200, 14.412200, 16.353300, 24.365000, 33.221100, 26.279800, 
2014-05-14, 17.055400, 22.225600, 23.966800, 25.393300, 14.395600, 14.411300, 16.330500, 24.590600, 33.462500, 26.418000, 
2014-05-13, 17.062800, 22.258000, 24.015900, 25.458100, 14.437300, 14.410300, 16.271500, 24.702000, 33.797000, 26.345200, 
2014-05-12, 17.058500, 22.248800, 24.007300, 25.452100, 14.433500, 14.409400, 16.242800, 24.685300, 34.003300, 26.238300, 
2014-05-09, 17.025200, 22.142500, 23.857800, 25.265400, 14.314900, 14.406600, 16.262100, 24.447700, 33.403700, 26.148700, 
2014-05-08, 17.025300, 22.145900, 23.860200, 25.265400, 14.315900, 14.405700, 16.284400, 24.406400, 33.243100, 26.315600, 
2014-05-07, 17.024300, 22.142500, 23.860000, 25.270300, 14.317900, 14.404700, 16.273300, 24.433700, 33.515600, 26.130000, 
2014-05-06, 17.015100, 22.122700, 23.833600, 25.238700, 14.299900, 14.403800, 16.262600, 24.287100, 33.475700, 26.288100, 
2014-05-05, 17.034900, 22.188300, 23.927400, 25.356900, 14.374100, 14.402900, 16.244500, 24.506000, 33.876000, 26.210400, 
2014-05-02, 17.029700, 22.177100, 23.913400, 25.340900, 14.364300, 14.400000, 16.256400, 24.458500, 33.875900, 26.224700, 
2014-05-01, 17.030500, 22.182100, 23.919600, 25.347200, 14.368600, 14.399100, 16.247700, 24.491700, 33.800100, 26.240800, 
2014-04-30, 17.023300, 22.163000, 23.893900, 25.316300, 14.349100, 14.398200, 16.210400, 24.493500, 33.727400, 26.146800, 
2014-04-29, 17.007600, 22.117300, 23.831100, 25.239300, 14.300800, 14.397200, 16.170100, 24.419200, 33.529200, 26.052800, 
2014-04-28, 16.989300, 22.054500, 23.744700, 25.133900, 14.232700, 14.396300, 16.185800, 24.303100, 33.333400, 25.879600, 
2014-04-25, 16.983700, 22.045300, 23.736000, 25.127300, 14.229200, 14.393400, 16.188800, 24.223200, 33.510300, 25.901800, 
2014-04-24, 17.009400, 22.135100, 23.864000, 25.288400, 14.332000, 14.392500, 16.172500, 24.420600, 34.057300, 25.988000, 
2014-04-23, 17.005200, 22.124700, 23.851500, 25.274900, 14.323700, 14.391600, 16.168200, 24.378400, 34.119900, 25.971400, 
